2026-06-12 08:20:46.203,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.206,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.209,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.212,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.215,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.218,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.221,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.223,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.226,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.229,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.232,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.235,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.238,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.241,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.244,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.247,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.250,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.253,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.256,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.259,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.261,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.264,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.267,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.270,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.273,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.276,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.279,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.282,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.285,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.288,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.290,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.293,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.296,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.299,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.302,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.304,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.308,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.310,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.313,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.316,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.319,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.322,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.325,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.328,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.330,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.333,rp00.00,ln00.00,b58.62,v11.34,
2026-06-12 08:20:46.336,rp00.00,ln00.00,b58.62,v11.34,
2026-06-12 08:20:46.450,rp00.00,ln00.00,b58.62,v11.34,
2026-06-12 08:20:46.453,rp00.00,ln00.00,b58.62,v11.34,
2026-06-12 08:20:46.650,rp00.00,ln00.00,b58.62,v11.34,
2026-06-12 08:20:46.653,rp00.00,ln00.00,b58.62,v11.34,
2026-06-12 08:20:46.850,rp00.00,ln00.00,b61.84,v11.47,
2026-06-12 08:20:46.853,rp00.00,ln00.00,b61.84,v11.47,
2026-06-12 08:20:47.050,rp00.00,ln00.00,b61.84,v11.47,
2026-06-12 08:20:47.053,rp00.00,ln00.00,b61.84,v11.47,
2026-06-12 08:20:47.250,rp00.00,ln00.00,b61.84,v11.47,
2026-06-12 08:20:47.253,rp00.00,ln00.00,b61.84,v11.47,
2026-06-12 08:20:47.450,rp00.00,ln00.00,b60.93,v11.44,
2026-06-12 08:20:47.453,rp00.00,ln00.00,b60.93,v11.44,
2026-06-12 08:20:47.650,rp00.00,ln00.00,b60.93,v11.44,
2026-06-12 08:20:47.653,rp00.00,ln00.00,b60.93,v11.44,
2026-06-12 08:20:47.850,rp00.00,ln00.00,b60.93,v11.44,
2026-06-12 08:20:47.853,rp00.00,ln00.00,b60.93,v11.44,
2026-06-12 08:20:48.050,rp00.00,ln00.00,b58.84,v11.35,
2026-06-12 08:20:48.053,rp00.00,ln00.00,b58.84,v11.35,
2026-06-12 08:20:48.250,rp00.00,ln00.00,b58.84,v11.35,
2026-06-12 08:20:48.253,rp00.00,ln00.00,b58.84,v11.35,
2026-06-12 08:20:48.450,rp00.00,ln00.00,b58.84,v11.35,
2026-06-12 08:20:48.453,rp00.00,ln00.00,b58.84,v11.35,
2026-06-12 08:20:48.650,rp00.00,ln00.00,b60.87,v11.43,
2026-06-12 08:20:48.653,rp00.00,ln00.00,b60.87,v11.43,
2026-06-12 08:20:48.850,rp00.00,ln00.00,b60.87,v11.43,
2026-06-12 08:20:48.853,rp00.00,ln00.00,b60.87,v11.43,
2026-06-12 08:20:49.050,rp00.00,ln00.00,b60.87,v11.43,
2026-06-12 08:20:49.053,rp00.00,ln00.00,b60.87,v11.43,
2026-06-12 08:20:49.250,rp00.00,ln00.00,b61.00,v11.44,
2026-06-12 08:20:49.253,rp00.00,ln00.00,b61.00,v11.44,
2026-06-12 08:20:49.449,rp00.00,ln00.00,b61.00,v11.44,
2026-06-12 08:20:49.453,rp00.00,ln00.00,b61.00,v11.44,
2026-06-12 08:20:49.649,rp00.00,ln00.00,b61.00,v11.44,
2026-06-12 08:20:49.653,rp00.00,ln00.00,b61.00,v11.44,
2026-06-12 08:20:49.849,rp00.00,ln00.00,b62.15,v11.49,
2026-06-12 08:20:49.853,rp00.00,ln00.00,b62.15,v11.49,
2026-06-12 08:20:50.049,rp00.00,ln00.00,b62.15,v11.49,
2026-06-12 08:20:50.053,rp00.00,ln00.00,b62.15,v11.49,
2026-06-12 08:20:50.249,rp00.00,ln00.00,b62.15,v11.49,
2026-06-12 08:20:50.253,rp00.00,ln00.00,b62.15,v11.49,
2026-06-12 08:20:50.449,rp00.00,ln00.00,b62.06,v11.48,
2026-06-12 08:20:50.453,rp00.00,ln00.00,b62.06,v11.48,
2026-06-12 08:20:50.649,rp00.00,ln00.00,b62.06,v11.48,
2026-06-12 08:20:50.653,rp00.00,ln00.00,b62.06,v11.48,
2026-06-12 08:20:50.849,rp00.00,ln00.00,b62.06,v11.48,
2026-06-12 08:20:50.853,rp00.00,ln00.00,b62.06,v11.48,
2026-06-12 08:20:51.049,rp00.00,ln00.00,b63.04,v11.52,
2026-06-12 08:20:51.053,rp00.00,ln00.00,b63.04,v11.52,
2026-06-12 08:20:51.249,rp00.00,ln00.00,b63.04,v11.52,
2026-06-12 08:20:51.253,rp00.00,ln00.00,b63.04,v11.52,
2026-06-12 08:20:51.449,rp00.00,ln00.00,b63.04,v11.52,
2026-06-12 08:20:51.453,rp00.00,ln00.00,b63.04,v11.52,
2026-06-12 08:20:51.649,rp00.00,ln00.00,b63.05,v11.52,
2026-06-12 08:20:51.653,rp00.00,ln00.00,b63.05,v11.52,
2026-06-12 08:20:51.849,rp00.00,ln00.00,b63.05,v11.52,
2026-06-12 08:20:51.853,rp00.00,ln00.00,b63.05,v11.52,
2026-06-12 08:20:52.049,rp00.00,ln00.00,b63.05,v11.52,
2026-06-12 08:20:52.053,rp00.00,ln00.00,b63.05,v11.52,
2026-06-12 08:20:52.249,rp00.00,ln00.00,b64.40,v11.58,
2026-06-12 08:20:52.253,rp00.00,ln00.00,b64.40,v11.58,
2026-06-12 08:20:52.449,rp00.00,ln00.00,b64.40,v11.58,
2026-06-12 08:20:52.452,rp00.00,ln00.00,b64.40,v11.58,
2026-06-12 08:20:52.649,rp00.00,ln00.00,b64.40,v11.58,
2026-06-12 08:20:52.652,rp00.00,ln00.00,b64.40,v11.58,
2026-06-12 08:20:52.849,rp00.00,ln00.00,b62.25,v11.49,
2026-06-12 08:20:52.852,rp00.00,ln00.00,b62.25,v11.49,
2026-06-12 08:20:53.049,rp00.00,ln00.00,b62.25,v11.49,
2026-06-12 08:20:53.052,rp00.00,ln00.00,b62.25,v11.49,
2026-06-12 08:20:53.249,rp00.00,ln00.00,b62.25,v11.49,
2026-06-12 08:20:53.252,rp00.00,ln00.00,b62.25,v11.49,
2026-06-12 08:20:53.449,rp00.00,ln00.00,b62.60,v11.50,
2026-06-12 08:20:53.452,rp00.00,ln00.00,b62.60,v11.50,
2026-06-12 08:20:53.649,rp00.00,ln00.00,b62.60,v11.50,
2026-06-12 08:20:53.652,rp00.00,ln00.00,b62.60,v11.50,
2026-06-12 08:20:53.849,rp00.00,ln00.00,b62.60,v11.50,
2026-06-12 08:20:53.852,rp00.00,ln00.00,b62.60,v11.50,
2026-06-12 08:20:54.049,rp00.00,ln00.00,b61.35,v11.45,
2026-06-12 08:20:54.052,rp00.00,ln00.00,b61.35,v11.45,
2026-06-12 08:20:54.249,rp00.00,ln00.00,b61.35,v11.45,
2026-06-12 08:20:54.252,rp00.00,ln00.00,b61.35,v11.45,
2026-06-12 08:20:54.449,rp00.00,ln00.00,b61.35,v11.45,
2026-06-12 08:20:54.452,rp00.00,ln00.00,b61.35,v11.45,
2026-06-12 08:20:54.649,rp00.00,ln00.00,b61.29,v11.45,
2026-06-12 08:20:54.652,rp00.00,ln00.00,b61.29,v11.45,
2026-06-12 08:20:54.849,rp00.00,ln00.00,b61.29,v11.45,
2026-06-12 08:20:54.852,rp00.00,ln00.00,b61.29,v11.45,
2026-06-12 08:20:55.049,rp00.00,ln00.00,b61.29,v11.45,
2026-06-12 08:20:55.052,rp00.00,ln00.00,b61.29,v11.45,
2026-06-12 08:20:55.248,rp00.00,ln00.00,b64.48,v11.58,
2026-06-12 08:20:55.250,rp00.00,ln00.00,b64.48,v11.58,
2026-06-12 08:20:55.449,rp00.00,ln00.00,b64.48,v11.58,
2026-06-12 08:20:55.452,rp00.00,ln00.00,b64.48,v11.58,
2026-06-12 08:20:55.649,rp00.00,ln00.00,b64.48,v11.58,
2026-06-12 08:20:55.652,rp00.00,ln00.00,b64.48,v11.58,
2026-06-12 08:20:55.849,rp00.00,ln00.00,b63.38,v11.54,
2026-06-12 08:20:55.852,rp00.00,ln00.00,b63.38,v11.54,
2026-06-12 08:20:56.049,rp00.00,ln00.00,b63.38,v11.54,
2026-06-12 08:20:56.052,rp00.00,ln00.00,b63.38,v11.54,
2026-06-12 08:20:56.249,rp00.00,ln00.00,b63.38,v11.54,
2026-06-12 08:20:56.252,rp00.00,ln00.00,b63.38,v11.54,
2026-06-12 08:20:56.449,rp00.00,ln00.00,b61.94,v11.48,
2026-06-12 08:20:56.452,rp00.00,ln00.00,b61.94,v11.48,
2026-06-12 08:20:56.649,rp00.00,ln00.00,b61.94,v11.48,
2026-06-12 08:20:56.652,rp00.00,ln00.00,b61.94,v11.48,
2026-06-12 08:20:56.849,rp00.00,ln00.00,b61.94,v11.48,
2026-06-12 08:20:56.852,rp00.00,ln00.00,b61.94,v11.48,
2026-06-12 08:20:57.049,rp00.00,ln00.00,b63.46,v11.54,
2026-06-12 08:20:57.052,rp00.00,ln00.00,b63.46,v11.54,
2026-06-12 08:20:57.248,rp00.00,ln00.00,b63.46,v11.54,
2026-06-12 08:20:57.252,rp00.00,ln00.00,b63.46,v11.54,
2026-06-12 08:20:57.449,rp00.00,ln00.00,b63.46,v11.54,
2026-06-12 08:20:57.452,rp00.00,ln00.00,b63.46,v11.54,
2026-06-12 08:20:57.649,rp00.00,ln00.00,b62.97,v11.52,
2026-06-12 08:20:57.652,rp00.00,ln00.00,b62.97,v11.52,
2026-06-12 08:20:57.849,rp00.00,ln00.00,b62.97,v11.52,
2026-06-12 08:20:57.852,rp00.00,ln00.00,b62.97,v11.52,
2026-06-12 08:20:58.048,rp00.00,ln00.00,b62.97,v11.52,
2026-06-12 08:20:58.052,rp00.00,ln00.00,b62.97,v11.52,
2026-06-12 08:20:58.248,rp00.00,ln00.00,b62.55,v11.50,
2026-06-12 08:20:58.252,rp00.00,ln00.00,b62.55,v11.50,
2026-06-12 08:20:58.448,rp00.00,ln00.00,b62.55,v11.50,
2026-06-12 08:20:58.452,rp00.00,ln00.00,b62.55,v11.50,
2026-06-12 08:20:58.648,rp00.00,ln00.00,b62.55,v11.50,
2026-06-12 08:20:58.652,rp00.00,ln00.00,b62.55,v11.50,
2026-06-12 08:20:58.848,rp00.00,ln00.00,b64.04,v11.56,
2026-06-12 08:20:58.852,rp00.00,ln00.00,b64.04,v11.56,
2026-06-12 08:20:59.048,rp00.00,ln00.00,b64.04,v11.56,
2026-06-12 08:20:59.052,rp00.00,ln00.00,b64.04,v11.56,
2026-06-12 08:20:59.248,rp00.00,ln00.00,b64.04,v11.56,
2026-06-12 08:20:59.252,rp00.00,ln00.00,b64.04,v11.56,
2026-06-12 08:20:59.448,rp00.00,ln00.00,b60.21,v11.41,
2026-06-12 08:20:59.452,rp00.00,ln00.00,b60.21,v11.41,
2026-06-12 08:20:59.648,rp00.00,ln00.00,b60.21,v11.41,
2026-06-12 08:20:59.652,rp00.00,ln00.00,b60.21,v11.41,
2026-06-12 08:20:59.848,rp00.00,ln00.00,b60.21,v11.41,
2026-06-12 08:20:59.852,rp00.00,ln00.00,b60.21,v11.41,
2026-06-12 08:21:00.048,rp00.00,ln00.00,b56.80,v11.27,
2026-06-12 08:21:00.052,rp00.00,ln00.00,b56.80,v11.27,
2026-06-12 08:21:00.248,rp00.00,ln00.00,b56.80,v11.27,
2026-06-12 08:21:00.252,rp00.00,ln00.00,b56.80,v11.27,
2026-06-12 08:21:00.448,rp00.00,ln00.00,b56.80,v11.27,
2026-06-12 08:21:00.452,rp00.00,ln00.00,b56.80,v11.27,
2026-06-12 08:21:00.648,rp00.00,ln00.00,b57.45,v11.30,
2026-06-12 08:21:00.652,rp00.00,ln00.00,b57.45,v11.30,
2026-06-12 08:21:00.848,rp00.00,ln00.00,b57.45,v11.30,
2026-06-12 08:21:00.852,rp00.00,ln00.00,b57.45,v11.30,
2026-06-12 08:21:01.048,rp00.00,ln00.00,b57.45,v11.30,
2026-06-12 08:21:01.052,rp00.00,ln00.00,b57.45,v11.30,
2026-06-12 08:21:01.248,rp00.00,ln00.00,b56.65,v11.27,
2026-06-12 08:21:01.252,rp00.00,ln00.00,b56.65,v11.27,
2026-06-12 08:21:01.448,rp00.00,ln00.00,b56.65,v11.27,
2026-06-12 08:21:01.452,rp00.00,ln00.00,b56.65,v11.27,
2026-06-12 08:21:01.648,rp00.00,ln00.00,b56.65,v11.27,
2026-06-12 08:21:01.652,rp00.00,ln00.00,b56.65,v11.27,
2026-06-12 08:21:01.848,rp00.00,ln00.00,b57.97,v11.32,
2026-06-12 08:21:01.852,rp00.00,ln00.00,b57.97,v11.32,
2026-06-12 08:21:02.048,rp00.00,ln00.00,b57.97,v11.32,
2026-06-12 08:21:02.051,rp00.00,ln00.00,b57.97,v11.32,
2026-06-12 08:21:02.248,rp00.00,ln00.00,b57.97,v11.32,
2026-06-12 08:21:02.252,rp00.00,ln00.00,b57.97,v11.32,
2026-06-12 08:21:02.448,rp00.00,ln00.00,b57.92,v11.32,
2026-06-12 08:21:02.451,rp00.00,ln00.00,b57.92,v11.32,
2026-06-12 08:21:02.648,rp00.00,ln00.00,b57.92,v11.32,
2026-06-12 08:21:02.651,rp00.00,ln00.00,b57.92,v11.32,
2026-06-12 08:21:02.848,rp00.00,ln00.00,b57.92,v11.32,
2026-06-12 08:21:02.851,rp00.00,ln00.00,b57.92,v11.32,
2026-06-12 08:21:03.048,rp00.00,ln00.00,b56.48,v11.26,
2026-06-12 08:21:03.051,rp00.00,ln00.00,b56.48,v11.26,
2026-06-12 08:21:03.248,rp00.00,ln00.00,b56.48,v11.26,
2026-06-12 08:21:03.251,rp00.00,ln00.00,b56.48,v11.26,
2026-06-12 08:21:03.448,rp00.00,ln00.00,b56.48,v11.26,
2026-06-12 08:21:03.451,rp00.00,ln00.00,b56.48,v11.26,
2026-06-12 08:21:03.648,rp00.00,ln00.00,b58.18,v11.33,
2026-06-12 08:21:03.651,rp00.00,ln00.00,b58.18,v11.33,
2026-06-12 08:21:03.848,rp00.00,ln00.00,b58.18,v11.33,
2026-06-12 08:21:03.851,rp00.00,ln00.00,b58.18,v11.33,
2026-06-12 08:21:04.048,rp00.00,ln00.00,b58.18,v11.33,
2026-06-12 08:21:04.051,rp00.00,ln00.00,b58.18,v11.33,
2026-06-12 08:21:04.248,rp00.00,ln00.00,b56.79,v11.27,
2026-06-12 08:21:04.251,rp00.00,ln00.00,b56.79,v11.27,
2026-06-12 08:21:04.448,rp00.00,ln00.00,b56.79,v11.27,
2026-06-12 08:21:04.451,rp00.00,ln00.00,b56.79,v11.27,
2026-06-12 08:21:04.648,rp00.00,ln00.00,b56.79,v11.27,
